car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price,region,fair_price,deviation_pct,cluster,cluster_name,manipulated,manipulation_prob,dev_bucket
2017 Honda Brio,VX AT,Automatic,23106,1st Owner,Petrol,DL-3C,531000,DL,989800.0,-0.4635279854516064,1,underpriced,1,1.0,deep_under
2021 Maruti Swift,ZXI+,Manual,6901,1st Owner,Petrol,DL-8C,819000,DL,752700.0,0.08808290155440414,1,underpriced,0,0.0,over
2020 Maruti Baleno,SIGMA PETROL 1.2,Manual,21864,2nd Owner,Petrol,DL-5C,561000,DL,686300.0,-0.18257321870901938,1,underpriced,0,0.0,under
2018 Honda City,V MT PETROL,Manual,29942,1st Owner,Petrol,DL-3C,864000,DL,750700.0,0.1509258025842547,1,underpriced,0,0.0,over
2018 HONDA AMAZE,1.2 V CVT I VTEC,Automatic,12503,1st Owner,Petrol,DL-14,719000,DL,956000.0,-0.24790794979079497,1,underpriced,0,0.0,deep_under
2017 Maruti Dzire,VXI AMT,Automatic,42526,1st Owner,Petrol,DL-12,570000,DL,615200.0,-0.07347204161248375,1,underpriced,0,0.0,under
2019 Maruti BALENO,DELTA PETROL 1.2,Manual,62610,1st Owner,Petrol,DL-2C,586000,DL,547400.0,0.07051516258677384,2,normal,0,0.0,over
2021 KIA SONET,HTX 1.0 IMT,Manual,11425,1st Owner,Petrol,UP-16,1139000,UP,823800.0,0.3826171400825443,0,overpriced,1,1.0,deep_over
2019 Maruti CIAZ,DELTA 1.5 SHVS VVT MT,Manual,20701,1st Owner,Petrol,DL-12,759000,DL,587200.0,0.29257493188010897,0,overpriced,0,0.0,deep_over
2019 Jeep Compass,1.4  LONGITUDE (O) AT,Automatic,23690,1st Owner,Petrol,DL-3C,1857000,DL,989800.0,0.8761365932511619,0,overpriced,1,1.0,deep_over
2017 Maruti CIAZ,ALPHA 1.4 PETROL,Manual,79277,2nd Owner,Petrol,DL-6C,636000,DL,424900.0,0.4968227818310191,0,overpriced,1,1.0,deep_over
2020 Renault TRIBER,RXZ AT,Automatic,16093,1st Owner,Petrol,UP-32,708000,UP,1052100.0,-0.3270601653835187,1,underpriced,1,1.0,deep_under
2017 Volkswagen Polo,HIGHLINE PLUS 1.2L PETROL,Manual,30398,1st Owner,Petrol,DL-2C,623000,DL,594500.0,0.0479394449116905,1,underpriced,0,0.0,fair
2015 HYUNDAI GRAND I10,ASTA AT 1.2 KAPPA VTVT,Automatic,32744,1st Owner,Petrol,DL-12,502000,DL,726500.0,-0.30901582931865107,1,underpriced,1,1.0,deep_under
2018 Volkswagen Polo,HIGHLINE PLUS 1.2L PETROL,Manual,18913,1st Owner,Petrol,DL-10,627000,DL,658900.0,-0.048414023372287146,1,underpriced,0,0.0,fair
2019 Tata Tiago,XZ PLUS PETROL,Manual,53126,1st Owner,Petrol,HR-72,492000,HR,483235.0,0.018138172938632343,2,normal,0,0.0,fair
2010 Maruti Alto,LXI,Manual,24884,1st Owner,Petrol,UP-14,153000,UP,422500.0,-0.6378698224852071,1,underpriced,1,1.0,deep_under
2016 Maruti Ciaz,VXI PLUS,Manual,47014,2nd Owner,Petrol,DL-2C,614000,DL,577400.0,0.0633875995843436,2,normal,0,0.0,over
2021 KIA SELTOS,HTX 1.5 DIESEL,Manual,60147,1st Owner,Diesel,DL-4C,1357000,DL,779700.0,0.7404129793510325,0,overpriced,1,1.0,deep_over
2017 HYUNDAI VERNA,1.6 VTVT SX (O) AT,Automatic,95153,2nd Owner,Petrol,HR-26,881000,HR,728400.0,0.20950027457440967,2,normal,0,0.0,deep_over
2018 TATA TIAGO,XZA 1.2 REVOTRON,Automatic,53852,1st Owner,Petrol,DL-3C,511000,DL,653600.0,-0.2181762545899633,2,normal,0,0.0,deep_under
2021 Mahindra Thar,LX HT PETROL 4WD MT,Manual,6089,1st Owner,Petrol,DL-10,1476000,DL,1215800.0,0.2140154630695838,1,underpriced,0,0.0,deep_over
2014 Maruti Wagon R 1.0,LXI CNG,Manual,58419,1st Owner,CNG,HR-29,312000,HR,492300.0,-0.3662400975015235,2,normal,1,1.0,deep_under
2020 HYUNDAI VENUE,S 1.2,Manual,74909,1st Owner,Petrol,UP-13,728000,UP,564970.0,0.2885639945483831,2,normal,0,0.0,deep_over
2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,28028,1st Owner,Petrol,DL-12,925000,DL,589000.0,0.5704584040747029,0,overpriced,1,1.0,deep_over
2020 MG HECTOR,SHARP DCT PETROL,Automatic,34505,1st Owner,Petrol,UP-16,1573000,UP,963460.0,0.6326572976563635,0,overpriced,1,1.0,deep_over
