car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price
2019 Hyundai VENUE,1.4 CRDI MT SX,Manual,"40,655 km",1st Owner,Diesel,DL-5C,"₹9,28,000"
2016 Honda Jazz,1.2 V MT,Manual,"35,734 km",1st Owner,Petrol,UP-16,"₹4,71,000"
2018 Maruti IGNIS,DELTA 1.2,Manual,"32,089 km",1st Owner,Petrol,DL-3C,"₹4,87,000"
2021 Maruti Baleno,DELTA PETROL 1.2,Manual,"42,431 km",1st Owner,Petrol,HR-26,"₹6,76,000"
2019 Maruti ALTO K10,VXI,Manual,"53,883 km",1st Owner,Petrol,HR-26,"₹3,66,000"
2013 Toyota Etios Liva,G,Manual,"77,156 km",1st Owner,Petrol,DL-10,"₹2,78,000"
2020 Maruti Vitara Brezza,ZXI+ DUAL TONE,Manual,"30,331 km",1st Owner,Petrol,HR-26,"₹9,21,000"
2020 Maruti BALENO,ZETA CVT PETROL 1.2,Automatic,"35,131 km",2nd Owner,Petrol,UP-16,"₹7,58,000"
2017 Renault Duster,RXL PETROL 104,Manual,"33,494 km",1st Owner,Petrol,DL-8C,"₹6,87,000"
2022 Maruti Swift,VXI AMT,Automatic,91 km,1st Owner,Petrol,HR-26,"₹7,77,200"
2019 VOLKSWAGEN VENTO,COMFORTLINE DIESEL 1.5,Manual,"32,652 km",1st Owner,Diesel,UP-14,"₹7,59,000"
2018 Maruti Wagon R 1.0,VXI AMT,Automatic,"24,549 km",2nd Owner,Petrol,DL-5C,"₹4,48,000"
2014 Maruti RITZ,VXI ELATE LIMITED EDITION,Manual,"52,682 km",1st Owner,Petrol,DL-8C,"₹3,16,000"
2021 Maruti Vitara Brezza,ZXI,Manual,170 km,1st Owner,Petrol,HR-26,"₹9,96,000"
2020 Skoda Rapid,1.0 AMBITION TSI AT,Automatic,"55,243 km",1st Owner,Petrol,DL-10,"₹9,32,000"
2019 Jeep Compass,2.0 LIMITED,Manual,"47,136 km",1st Owner,Diesel,HR-26,"₹16,21,000"
2020 Maruti Baleno,SIGMA PETROL 1.2,Manual,"22,354 km",1st Owner,Petrol,DL-12,"₹6,03,000"
2016 HYUNDAI ELITE I20,ASTA 1.2 (O),Manual,"40,106 km",1st Owner,Petrol,DL-7C,"₹6,14,000"
2018 Maruti WAGON R 1.0,VXI,Manual,"48,863 km",1st Owner,Petrol,HR-26,"₹4,04,000"
2013 Maruti SWIFT DZIRE,VXI,Manual,"48,669 km",1st Owner,Petrol,DL-3C,"₹3,80,000"
2018 Maruti VITARA BREZZA,ZDI PLUS,Manual,"50,465 km",1st Owner,Diesel,UP-14,"₹7,70,000"
2018 Maruti Baleno,DELTA 1.2 K12,Manual,"39,910 km",2nd Owner,Petrol,DL-7C,"₹5,26,000"
2020 Maruti Vitara Brezza,ZDI,Manual,"31,439 km",1st Owner,Diesel,DL-4C,"₹8,80,000"
2022 Maruti Dzire,ZXI AMT,Automatic,"1,570 km",1st Owner,Petrol,DL-12,"₹9,24,000"
2019 Maruti CELERIO,VXI,Manual,"44,893 km",1st Owner,Petrol,DL-1C,"₹4,46,000"
2017 Hyundai Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,Manual,"36,974 km",1st Owner,Petrol,UP-14,"₹4,88,000"
2018 Maruti IGNIS,SIGMA 1.2,Manual,"35,874 km",2nd Owner,Petrol,DL-12,"₹4,34,000"
2018 Honda WR-V,1.2L I-VTEC S MT,Manual,"27,235 km",1st Owner,Petrol,HR-36,"₹6,77,000"
2019 Maruti Baleno,DELTA PETROL 1.2,Manual,"33,836 km",1st Owner,Petrol,DL-3C,"₹6,15,000"
2017 Honda City,V MT PETROL,Manual,"35,601 km",1st Owner,Petrol,UP-16,"₹7,74,000"
2016 Ford Ecosport,1.0 TREND+ (ECOBOOST),Manual,"59,612 km",1st Owner,Petrol,DL-10,"₹6,32,000"
2012 Honda City,S MT PETROL,Manual,"63,533 km",1st Owner,Petrol,HR-26,"₹4,15,000"
2019 FORD ECOSPORT,TITANIUM 1.5L PETROL,Manual,"22,270 km",1st Owner,Petrol,UP-16,"₹7,93,000"
2016 Maruti Celerio,ZXI AMT,Automatic,"44,995 km",2nd Owner,Petrol,DL-8C,"₹3,99,000"
2015 Toyota Corolla Altis,GL,Manual,"1,00,530 km",1st Owner,Petrol,DL-3C,"₹7,99,000"
2015 Maruti Celerio,VXI AMT,Automatic,"63,382 km",2nd Owner,Petrol,DL-5C,"₹3,61,000"
2020 Hyundai NEW SANTRO,SPORTZ AMT,Automatic,"35,686 km",1st Owner,Petrol,DL-10,"₹5,51,000"
2021 Maruti Celerio,VXI,Manual,"25,145 km",1st Owner,Petrol,HR-98,"₹4,75,000"
2019 Hyundai Creta,1.6 SX VTVT,Manual,"12,938 km",1st Owner,Petrol,DL-7C,"₹11,37,000"
2015 TOYOTA COROLLA ALTIS,VL CVT PETROL,Automatic,"51,062 km",1st Owner,Petrol,DL-10,"₹9,34,000"
2019 Volkswagen POLO,GT TDI,Manual,"85,697 km",1st Owner,Diesel,UP-16,"₹7,44,000"
2017 Ford Ecosport,TREND 1.5L PETROL,Manual,"73,522 km",1st Owner,Petrol,UP-14,"₹6,00,000"
2017 Maruti Dzire,VXI,Manual,"48,730 km",1st Owner,Petrol,HR-26,"₹5,52,000"
2011 Hyundai i10,SPORTZ 1.2 AT,Automatic,"22,517 km",2nd Owner,Petrol,DL-3C,"₹2,50,000"
2018 Maruti DZIRE,VXI AMT,Automatic,"49,929 km",1st Owner,Petrol,DL-9C,"₹6,25,000"
2019 KIA SELTOS,HTK 1.5 PETROL,Manual,"7,221 km",1st Owner,Petrol,HR-26,"₹11,32,000"
2019 Maruti Baleno,DELTA PETROL 1.2,Manual,"17,266 km",1st Owner,Petrol,HR-26,"₹6,43,000"
2015 Honda Jazz,1.2 V AT,Automatic,"65,103 km",1st Owner,Petrol,DL-5C,"₹5,23,000"
2020 Renault Kwid,1.0 RXT Opt AT,Automatic,"13,095 km",1st Owner,Petrol,DL-3C,"₹4,72,000"
2017 Maruti BALENO,DELTA PETROL 1.2,Manual,"39,745 km",1st Owner,Petrol,DL-12,"₹5,62,000"
2016 Maruti Baleno,DELTA PETROL 1.2,Manual,"41,373 km",1st Owner,Petrol,DL-2C,"₹5,17,000"
2018 Mahindra TUV 300 PLUS,P8,Manual,"83,004 km",1st Owner,Diesel,DL-8C,"₹8,19,000"
2020 HYUNDAI GRAND I10 NIOS,MAGNA 1.2 KAPPA VTVT,Manual,"19,713 km",1st Owner,Petrol,HR-26,"₹5,77,000"
2014 Honda Amaze,1.2 EMT I VTEC,Manual,"27,324 km",1st Owner,Petrol,DL-13,"₹3,94,000"
2017 Maruti Ciaz,ALPHA 1.4 VVT,Manual,"98,200 km",1st Owner,Petrol,DL-8C,"₹6,53,000"
2016 Honda City,V MT PETROL,Manual,"33,591 km",1st Owner,Petrol,DL-10,"₹6,98,000"
2021 KIA SELTOS,HTX 1.5 PETROL,Manual,"9,337 km",1st Owner,Petrol,HR-98,"₹14,96,000"
2022 Tata Tiago,XZ+ CNG 1.2 RTN,Manual,"30,399 km",1st Owner,CNG,HR-26,"₹7,57,000"
2019 Maruti Baleno,ZETA PETROL 1.2,Manual,"55,153 km",1st Owner,Petrol,DL-2C,"₹6,63,000"
2020 Toyota YARIS,J CVT,Automatic,"38,184 km",1st Owner,Petrol,DL-10,"₹9,03,000"
2014 HYUNDAI ELITE I20,ASTA 1.2,Manual,"51,113 km",1st Owner,Petrol,UP-78,"₹5,03,000"
2019 Maruti New Wagon-R,1.0 LXI (O),Manual,"38,582 km",1st Owner,Petrol,HR-76,"₹4,49,000"
2018 Maruti CIAZ,ALPHA 1.5 SHVS PETROL,Manual,"42,142 km",2nd Owner,Petrol,HR-26,"₹8,25,000"
2019 Hyundai VENUE,1.4 CRDI MT SX,Manual,"88,117 km",1st Owner,Diesel,HR-29,"₹8,45,000"
2017 Maruti Baleno,DELTA PETROL 1.2,Manual,"42,192 km",1st Owner,Petrol,DL-9C,"₹5,58,000"
2017 Maruti CIAZ,DELTA 1.4 AT PETROL,Automatic,"45,176 km",1st Owner,Petrol,DL-9C,"₹7,79,000"
2021 KIA SONET,HTK+ 1.5D MT,Manual,"27,698 km",1st Owner,Diesel,UP-32,"₹10,34,000"
2016 Maruti Celerio,VXI AMT,Automatic,"65,851 km",1st Owner,Petrol,DL-8C,"₹3,94,000"
2020 Tata NEXON,XZ+ OPT PETROL,Manual,"22,652 km",1st Owner,Petrol,HR-26,"₹9,52,000"
2018 Volkswagen Polo,HIGHLINE PLUS 1.5L DIESEL,Manual,"36,305 km",1st Owner,Diesel,HR-51,"₹6,44,000"
2018 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"27,213 km",2nd Owner,Petrol,DL-1C,"₹4,75,000"
2018 Hyundai NEW SANTRO,SPORTZ CNG,Manual,"66,932 km",1st Owner,CNG,DL-8C,"₹4,69,000"
2017 Maruti BALENO,DELTA PETROL 1.2,Manual,"23,526 km",1st Owner,Petrol,DL-8C,"₹5,63,000"
2015 Honda City,V MT PETROL,Manual,"67,367 km",1st Owner,Petrol,DL-4C,"₹6,36,000"
2018 Hyundai Elite i20,SPORTZ 1.2,Manual,"52,575 km",1st Owner,Petrol,UP-16,"₹6,31,000"
2017 TOYOTA COROLLA ALTIS,G AT,Automatic,"75,836 km",1st Owner,Petrol,DL-10,"₹11,39,000"
2018 Mahindra Thar,CRDE 4X4 BS IV,Manual,"21,244 km",1st Owner,Diesel,DL-10,"₹8,82,000"
2015 HYUNDAI ELITE I20,SPORTZ 1.2 (O),Manual,"20,466 km",1st Owner,Petrol,DL-1C,"₹6,04,000"
2022 Maruti Celerio,LXI,Manual,"8,977 km",1st Owner,Petrol,DL-8C,"₹5,26,000"
2021 Skoda Rapid,STYLE 1.0TSI MT,Manual,"13,030 km",1st Owner,Petrol,UP-78,"₹12,10,000"
2021 Maruti IGNIS,ZETA 1.2,Manual,"9,558 km",1st Owner,Petrol,DL-5C,"₹6,32,000"
2015 Maruti Ciaz,ZXI,Manual,"23,364 km",1st Owner,Petrol,DL-5C,"₹6,11,000"
2022 Tata Safari,XZA PLUS GOLD,Automatic,"20,424 km",1st Owner,Diesel,UP-16,"₹21,86,000"
2021 Maruti S Cross,SIGMA 1.5 SHVS,Manual,"17,916 km",1st Owner,Petrol,UP-85,"₹8,80,000"
2017 Hyundai Grand i10,SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,"22,284 km",1st Owner,Petrol,DL-4C,"₹5,58,000"
2019 Tata Tiago,XZ 1.2 REVOTRON,Manual,"38,715 km",1st Owner,Petrol,UP-16,"₹5,03,000"
2014 HONDA AMAZE,1.2 SMT I VTEC,Manual,"70,134 km",1st Owner,Petrol,DL-4C,"₹3,67,000"
2015 Hyundai i20 Active,1.2 S,Manual,"37,975 km",2nd Owner,Petrol,DL-8C,"₹5,41,000"
2017 Maruti BALENO,DELTA PETROL 1.2,Manual,"89,081 km",1st Owner,CNG,HR-12,"₹5,59,000"
2014 Maruti Ciaz,ZXI,Manual,"79,832 km",1st Owner,Petrol,HR-26,"₹5,65,000"
2018 Maruti Vitara Brezza,ZDI PLUS AMT,Automatic,"89,151 km",1st Owner,Diesel,UP-16,"₹8,37,000"
2012 Maruti Swift,VXI,Manual,"52,784 km",1st Owner,Petrol,DL-2C,"₹3,08,000"
2020 Maruti Baleno,ZETA PETROL 1.2,Manual,"14,813 km",1st Owner,Petrol,UP-16,"₹7,15,000"
2020 Maruti Swift,LXI,Manual,"66,583 km",1st Owner,Petrol,DL-8C,"₹5,42,000"
2015 HYUNDAI XCENT,S 1.2,Manual,"50,990 km",2nd Owner,Petrol,HR-26,"₹4,27,000"
2018 Maruti Baleno,DELTA PETROL 1.2,Manual,"15,569 km",1st Owner,Petrol,DL-2C,"₹5,97,000"
2014 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"77,808 km",1st Owner,Petrol,UP-14,"₹3,46,000"
2018 Maruti Celerio,VXI CNG,Manual,"81,143 km",1st Owner,CNG,DL-9C,"₹4,62,000"
2019 Hyundai Elite i20,1.2 SPORTS PLUS VTVT,Manual,"30,152 km",2nd Owner,Petrol,HR-26,"₹6,62,000"
2019 Maruti BALENO,ZETA PETROL 1.2,Manual,0 km,1st Owner,Petrol,DL-8C,"₹7,60,000"
2018 Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"15,736 km",1st Owner,Petrol,DL-10,"₹4,78,000"
2019 Maruti Baleno,DELTA PETROL 1.2,Manual,"74,161 km",2nd Owner,CNG,HR-34,"₹5,96,000"
2016 Honda Jazz,1.2 S AT,Automatic,"68,766 km",1st Owner,Petrol,DL-4C,"₹5,15,000"
2017 Maruti Ciaz,DELTA 1.4 VVT,Manual,"66,931 km",1st Owner,Petrol,DL-7C,"₹6,60,000"
2019 Hyundai NEW SANTRO,SPORTZ 1.1,Manual,"29,826 km",2nd Owner,Petrol,HR-26,"₹4,37,000"
2011 Toyota COROLLA ALTIS,1.8 G,Manual,"66,466 km",2nd Owner,Petrol,DL-12,"₹4,08,000"
2015 HYUNDAI ELITE I20,ASTA 1.2 (O),Manual,"72,417 km",2nd Owner,Petrol,DL-12,"₹5,41,000"
2018 Maruti Swift,ZXI,Manual,"42,705 km",1st Owner,Petrol,DL-3C,"₹6,28,000"
2019 Maruti SWIFT,LXI,Manual,"70,182 km",1st Owner,Petrol,DL-12,"₹5,45,000"
2021 Tata TIGOR,XZ PETROL,Manual,"39,895 km",1st Owner,Petrol,DL-7C,"₹6,46,000"
2021 Maruti New Wagon-R,LXI CNG (O) 1.0,Manual,"12,121 km",1st Owner,CNG,HR-26,"₹5,82,000"
2019 Maruti Vitara Brezza,ZDI PLUS DUAL TONE,Manual,"68,208 km",1st Owner,Diesel,HR-26,"₹8,79,000"
2018 Maruti IGNIS,DELTA 1.2 K12,Manual,"92,670 km",1st Owner,Petrol,DL-2C,"₹4,26,000"
2022 Maruti New Wagon-R,VXI 1.0,Manual,"3,741 km",1st Owner,Petrol,HR-51,"₹6,12,000"
2019 Renault Kwid,RXL,Manual,"19,729 km",1st Owner,Petrol,DL-8C,"₹3,73,000"
2019 Mahindra XUV500,W11,Manual,"32,204 km",1st Owner,Diesel,DL-1C,"₹13,75,000"
2016 Hyundai Elite i20,MAGNA 1.2,Manual,"38,043 km",1st Owner,Petrol,DL-7C,"₹5,23,000"
2015 Maruti Swift,VXI,Manual,"78,540 km",1st Owner,Petrol,DL-9C,"₹4,53,000"
2017 Maruti S CROSS,ZETA 1.3,Manual,"37,911 km",1st Owner,Diesel,DL-8C,"₹6,62,000"
2018 Maruti CELERIO X,ZXI,Manual,"48,335 km",1st Owner,Petrol,DL-9C,"₹4,29,000"
2017 Maruti SWIFT,LXI (O),Manual,"43,904 km",2nd Owner,Petrol,DL-12,"₹4,46,000"
2018 Maruti Celerio,VXI CNG,Manual,"81,406 km",1st Owner,CNG,DL-9C,"₹4,73,000"
2017 Hyundai Creta,1.4 E PLUS CRDI,Manual,"98,513 km",1st Owner,Diesel,HR-36,"₹7,82,000"
2018 Honda Amaze,1.5 SMT I DTEC,Manual,"82,187 km",1st Owner,Diesel,DL-10,"₹5,64,000"
2019 Mahindra XUV500,W11 (O),Manual,"23,017 km",1st Owner,Diesel,DL-12,"₹15,03,000"
2017 HYUNDAI ELITE I20,ASTA 1.2,Manual,"24,418 km",1st Owner,Petrol,DL-8C,"₹6,54,000"
2016 Maruti Baleno,DELTA PETROL 1.2,Manual,"28,131 km",2nd Owner,Petrol,DL-1C,"₹5,38,000"
2021 DATSUN REDI GO,T (O),Manual,"7,330 km",1st Owner,Petrol,HR-72,"₹4,00,000"
2020 Honda Amaze,1.2L I-VTEC E,Manual,"13,328 km",1st Owner,Petrol,HR-26,"₹6,72,000"
2019 Hyundai Verna,1.6 CRDI SX,Manual,"37,640 km",1st Owner,Diesel,HR-51,"₹10,52,000"
2018 HYUNDAI CRETA,E PLUS 1.4 DIESEL,Manual,"93,155 km",2nd Owner,Diesel,UP-16,"₹8,52,000"
2014 Maruti Swift Dzire,ZXI,Manual,"70,706 km",1st Owner,Petrol,DL-2C,"₹4,42,000"
2017 Maruti Baleno,ZETA PETROL 1.2,Manual,"29,157 km",1st Owner,Petrol,DL-9C,"₹5,68,000"
2016 Toyota Innova Crysta,2.4 VX 7 STR,Manual,"72,147 km",1st Owner,Diesel,HR-36,"₹14,44,000"
2017 HONDA WR-V,1.5 i-DTEC S MT,Manual,"61,469 km",1st Owner,Diesel,HR-26,"₹6,12,000"
2022 Renault Kiger, RXT (O) AMT 1.0 DUAL TONE,Automatic,"6,642 km",1st Owner,Petrol,UP-14,"₹8,42,000"
2020 Skoda Rapid,1.0 AMBITION TSI AT,Automatic,"10,713 km",1st Owner,Petrol,DL-10,"₹10,51,000"
2019 Maruti Baleno,DELTA PETROL 1.2,Manual,"61,195 km",2nd Owner,Petrol,UP-14,"₹5,79,000"
2020 Maruti Swift,LXI,Manual,"2,297 km",2nd Owner,Petrol,DL-14,"₹5,82,000"
2018 Maruti Vitara Brezza,ZDI,Manual,"40,587 km",2nd Owner,Diesel,DL-3C,"₹7,19,000"
2020 KIA SELTOS,HTK PLUS 1.5 DIESEL,Manual,"84,335 km",1st Owner,Diesel,DL-12,"₹12,48,000"
2018 Ford Ecosport,1.5TITANIUM TDCI,Manual,"45,730 km",1st Owner,Diesel,DL-12,"₹7,58,000"
2021 Honda Amaze,1.2 V CVT I VTEC,Automatic,"21,826 km",1st Owner,Petrol,DL-4C,"₹8,33,000"
2018 HYUNDAI TUCSON NEW,GLS 4WD AT DIESEL,Automatic,"25,149 km",1st Owner,Diesel,UP-16,"₹18,46,000"
2018 HONDA CITY,VX CVT PETROL,Automatic,"75,891 km",1st Owner,Petrol,UP-32,"₹8,98,000"
2020 Honda Amaze,1.2L I-VTEC S,Manual,"47,657 km",1st Owner,Petrol,DL-3C,"₹6,35,000"
2019 HYUNDAI CRETA,SX AT 1.6 DIESEL,Automatic,"80,459 km",1st Owner,Diesel,UP-14,"₹12,74,000"
2021 Honda City,V MT PETROL,Manual,"19,216 km",1st Owner,Petrol,UP-16,"₹9,60,000"
2019 Hyundai Creta,1.6 SX VTVT (O) EXECUTIVE,Manual,"81,872 km",1st Owner,Petrol,DL-12,"₹11,60,000"
2020 Hyundai Elite i20,1.2 SPORTS PLUS VTVT,Manual,"38,241 km",1st Owner,Petrol,DL-1C,"₹7,70,000"
2015 Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,Automatic,"75,171 km",1st Owner,Petrol,DL-2C,"₹4,23,000"
2020 Hyundai NEW SANTRO,MAGNA CNG,Manual,"19,016 km",2nd Owner,CNG,DL-1C,"₹5,05,000"
2018 Honda City,V MT PETROL,Manual,"49,089 km",1st Owner,Petrol,DL-10,"₹8,29,000"
2017 Hyundai Grand i10,SPORTZ (O) 1.2 AT VTVT,Automatic,"30,210 km",1st Owner,Petrol,DL-8C,"₹5,76,000"
2014 HONDA CITY,SV MT PETROL,Manual,"60,378 km",1st Owner,Petrol,UP-32,"₹5,21,000"
2018 Maruti VITARA BREZZA,ZDI + AMT,Automatic,"41,271 km",1st Owner,Diesel,DL-2C,"₹8,48,000"
2021 Hyundai VENUE,S 1.0 TURBO IMT,Manual,"23,036 km",1st Owner,Petrol,DL-10,"₹10,33,000"
2019 HYUNDAI NEW SANTRO,SPORTZ 1.1,Manual,"10,632 km",1st Owner,Petrol,DL-12,"₹4,81,000"
2019 Ford Ecosport,1.5 TREND TI VCT,Manual,"20,728 km",2nd Owner,CNG,HR-29,"₹7,55,000"
2021 TOYOTA YARIS,J MT,Manual,"8,465 km",1st Owner,Petrol,DL-10,"₹9,88,000"
2021 Maruti Baleno,DELTA PETROL 1.2,Manual,"44,141 km",1st Owner,Petrol,DL-8C,"₹6,68,000"
2017 HYUNDAI GRAND I10,MAGNA 1.2 KAPPA VTVT,Manual,"35,810 km",2nd Owner,CNG,HR-26,"₹4,57,000"
2016 Hyundai Elite i20,ASTA 1.2,Manual,"32,296 km",1st Owner,Petrol,DL-2C,"₹5,96,000"
2021 Hyundai NEW I20,MAGNA 1.5 MT,Manual,"11,726 km",1st Owner,Diesel,HR-98,"₹8,29,000"
2014 Maruti Wagon R 1.0,LXI,Manual,"23,760 km",1st Owner,Petrol,DL-2C,"₹3,24,000"
2017 Maruti CIAZ,DELTA 1.4 MT PETROL,Manual,"83,946 km",2nd Owner,Petrol,HR-26,"₹6,26,000"
2020 KIA SELTOS,HTK PLUS AT 1.5 DIESEL,Automatic,"49,488 km",1st Owner,Diesel,HR-26,"₹13,77,000"
2018 Maruti CIAZ,ALPHA 1.5 SHVS PETROL,Manual,"55,980 km",2nd Owner,Petrol,DL-12,"₹8,75,000"
2015 HONDA CITY,SV MT PETROL,Manual,"47,670 km",2nd Owner,Petrol,DL-4C,"₹6,15,000"
2015 Maruti Swift,LXI,Manual,"55,080 km",1st Owner,Petrol,DL-2C,"₹4,32,000"
2020 Maruti Dzire,VXI AMT,Automatic,"70,510 km",2nd Owner,Petrol,HR-51,"₹6,92,000"
2020 Hyundai VENUE,SX PLUS 1.0 TURBO DCT,Automatic,"18,194 km",1st Owner,Petrol,DL-5C,"₹11,24,000"
2018 Maruti Baleno,DELTA PETROL 1.2,Manual,"24,674 km",2nd Owner,Petrol,DL-6C,"₹6,01,000"
2017 Maruti CIAZ,SIGMA 1.4 VVT,Manual,"69,680 km",1st Owner,Petrol,HR-26,"₹6,11,000"
2018 Maruti Swift,VXI,Manual,"55,483 km",1st Owner,Petrol,DL-1C,"₹5,48,000"
2018 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"85,759 km",2nd Owner,CNG,HR-51,"₹4,72,000"
2018 Maruti Vitara Brezza,ZDI PLUS DUAL TONE,Manual,"48,535 km",1st Owner,Diesel,DL-12,"₹7,63,000"
2020 KIA SELTOS,GTX + AT PETROL,Automatic,"28,506 km",1st Owner,Petrol,HR-26,"₹16,33,000"
2014 Honda Amaze,1.2 SX MT I VTEC,Manual,"55,379 km",1st Owner,Petrol,DL-3C,"₹4,23,000"
2020 Maruti Baleno,ALPHA PETROL 1.2,Manual,"22,244 km",1st Owner,Petrol,DL-6C,"₹7,78,000"
2019 Honda Amaze,VX AT I DTEC,Automatic,"69,222 km",2nd Owner,Diesel,HR-26,"₹7,40,000"
2013 HONDA BRIO,1.2 S MT I VTEC,Manual,"43,956 km",1st Owner,Petrol,DL-2C,"₹3,13,000"
2015 Honda City,1.5L I-VTEC VX CVT,Automatic,"34,851 km",1st Owner,Petrol,UP-78,"₹7,03,600"
2019 Maruti Baleno,ZETA PETROL 1.2,Manual,"8,924 km",1st Owner,Petrol,UP-14,"₹6,71,000"
2020 Maruti New Wagon-R,LXI CNG 1.0 L,Manual,"23,040 km",1st Owner,CNG,DL-11,"₹5,68,000"
2020 HYUNDAI AURA,S 1.2 CNG,Manual,"41,871 km",1st Owner,CNG,DL-12,"₹7,41,000"
2021 Toyota YARIS,J CVT,Automatic,"15,778 km",1st Owner,Petrol,HR-98,"₹10,46,000"
2021 NISSAN MAGNITE,XL Turbo CVT,Automatic,"21,967 km",1st Owner,Petrol,DL-8C,"₹8,86,000"
2018 Maruti Vitara Brezza,ZDI PLUS,Manual,"7,749 km",1st Owner,Diesel,DL-9C,"₹8,93,000"
2017 TOYOTA COROLLA ALTIS,GL,Manual,"45,060 km",2nd Owner,Petrol,DL-10,"₹11,53,000"
2017 Hyundai Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,Manual,"37,646 km",1st Owner,Petrol,DL-4C,"₹5,10,000"
2015 HONDA JAZZ,1.2L I-VTEC VX,Manual,"80,224 km",1st Owner,Petrol,DL-3C,"₹4,70,000"
2018 Hyundai Grand i10,SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,"56,054 km",1st Owner,Petrol,DL-10,"₹5,79,000"
2018 Maruti Swift,ZXI AMT,Automatic,"37,338 km",1st Owner,Petrol,DL-8C,"₹6,71,000"
2021 Tata NEXON,XZ+ 1.5,Manual,"10,422 km",1st Owner,Diesel,HR-26,"₹11,89,000"
2021 Maruti New Wagon-R,LXI CNG 1.0 L,Manual,"14,396 km",1st Owner,CNG,DL-8C,"₹5,89,000"
2018 Maruti Vitara Brezza,VDI,Manual,"49,317 km",1st Owner,Diesel,DL-6C,"₹7,27,000"
2016 Hyundai Grand i10,ASTA 1.2 (O) VTVT,Manual,"25,073 km",1st Owner,Petrol,DL-3C,"₹4,68,000"
2020 KIA SELTOS,GTX + AT PETROL,Automatic,"18,651 km",1st Owner,Petrol,DL-14,"₹16,46,000"
2018 HYUNDAI CRETA,1.6 SX (O) CRDI,Manual,"60,805 km",2nd Owner,Diesel,UP-16,"₹9,28,000"
2018 Maruti Vitara Brezza,VDI OPT,Manual,"34,238 km",1st Owner,Diesel,DL-1C,"₹7,50,000"
2019 Maruti CIAZ,Alpha 1.5 Diesel,Manual,"60,812 km",2nd Owner,Diesel,DL-3C,"₹9,85,000"
2019 Maruti Alto,LXI CNG,Manual,"41,807 km",1st Owner,CNG,DL-3C,"₹3,83,000"
2021 Maruti Baleno,DELTA PETROL 1.2,Manual,"19,875 km",1st Owner,Petrol,DL-8C,"₹7,16,000"
2018 Hyundai Creta,1.6 CRDI SX PLUS AUTO,Automatic,"60,316 km",1st Owner,Diesel,DL-8C,"₹11,92,000"
2021 Mahindra Thar,LX PETROL HT 4WD AT,Automatic,"12,949 km",1st Owner,Petrol,UP-16,"₹15,03,000"
2017 Maruti Baleno,DELTA PETROL 1.2,Manual,"55,725 km",1st Owner,Petrol,DL-9C,"₹5,06,000"
2017 Ford Ecosport,1.5TITANIUM TDCI,Manual,"51,665 km",1st Owner,Diesel,HR-34,"₹6,58,000"
2016 HONDA AMAZE,1.2 SX MT I VTEC,Manual,"29,081 km",1st Owner,Petrol,DL-2C,"₹5,21,000"
2016 Hyundai Creta,1.6 S,Manual,"78,700 km",1st Owner,Petrol,DL-8C,"₹8,00,000"
2016 Maruti Baleno,ZETA CVT PETROL 1.2,Automatic,"32,334 km",1st Owner,Petrol,UP-14,"₹5,73,000"
2011 HYUNDAI I20,MAGNA (O) 1.2,Manual,"72,982 km",1st Owner,Petrol,HR-29,"₹2,83,000"
2018 Tata Tiago,XZA 1.2 REVOTRON,Automatic,"27,451 km",2nd Owner,Petrol,HR-26,"₹5,35,000"
2018 Honda City,V MT PETROL,Manual,"32,812 km",1st Owner,Petrol,HR-26,"₹8,32,000"
2019 Hyundai Creta,1.6 SX VTVT,Manual,"21,153 km",1st Owner,Petrol,UP-16,"₹11,49,000"
2020 Maruti VITARA BREZZA,ZXI PLUS,Manual,"10,684 km",1st Owner,Petrol,HR-29,"₹9,66,000"
2016 Honda Amaze,1.2 SX MT I VTEC,Manual,"26,535 km",1st Owner,Petrol,DL-8C,"₹5,15,000"
2021 Maruti S Cross,ZETA 1.5,Manual,"16,158 km",1st Owner,Petrol,UP-32,"₹9,42,000"
2020 Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS,Manual,"18,699 km",1st Owner,Petrol,HR-23,"₹9,56,000"
2017 Maruti Baleno,DELTA PETROL 1.2,Manual,"57,559 km",1st Owner,Petrol,DL-8C,"₹5,50,000"
2019 Maruti Baleno,DELTA PETROL 1.2,Manual,"28,991 km",1st Owner,Petrol,DL-2C,"₹6,27,000"
2021 Maruti Alto,LXI CNG,Manual,"27,451 km",1st Owner,CNG,DL-6C,"₹4,56,000"
2016 Maruti Baleno,DELTA PETROL 1.2,Manual,"51,415 km",1st Owner,Petrol,DL-8C,"₹5,22,000"
2017 Hyundai Elite i20,MAGNA EXECUTIVE 1.2,Manual,"62,148 km",2nd Owner,Petrol,DL-4C,"₹5,14,000"
