car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price
2019 Maruti CIAZ,DELTA 1.5 SHVS VVT MT,Manual,"20,701 km",1st Owner,Petrol,DL-12,"₹7,59,000"
2019 Jeep Compass,1.4  LONGITUDE (O) AT,Automatic,"23,690 km",1st Owner,Petrol,DL-3C,"₹18,57,000"
2017 Maruti CIAZ,ALPHA 1.4 PETROL,Manual,"79,277 km",2nd Owner,Petrol,DL-6C,"₹6,36,000"
2020 Renault TRIBER,RXZ AT,Automatic,"16,093 km",1st Owner,Petrol,UP-32,"₹7,08,000"
2017 Volkswagen Polo,HIGHLINE PLUS 1.2L PETROL,Manual,"30,398 km",1st Owner,Petrol,DL-2C,"₹6,23,000"
2015 HYUNDAI GRAND I10,ASTA AT 1.2 KAPPA VTVT,Automatic,"32,744 km",1st Owner,Petrol,DL-12,"₹5,02,000"
2018 Volkswagen Polo,HIGHLINE PLUS 1.2L PETROL,Manual,"18,913 km",1st Owner,Petrol,DL-10,"₹6,27,000"
2019 Tata Tiago,XZ PLUS PETROL,Manual,"53,126 km",1st Owner,Petrol,HR-72,"₹4,92,000"
2010 Maruti Alto,LXI,Manual,"24,884 km",1st Owner,Petrol,UP-14,"₹1,53,000"
2016 Maruti Ciaz,VXI PLUS,Manual,"47,014 km",2nd Owner,Petrol,DL-2C,"₹6,14,000"
2021 KIA SELTOS,HTX 1.5 DIESEL,Manual,"60,147 km",1st Owner,Diesel,DL-4C,"₹13,57,000"
2017 HYUNDAI VERNA,1.6 VTVT SX (O) AT,Automatic,"95,153 km",2nd Owner,Petrol,HR-26,"₹8,81,000"
2018 TATA TIAGO,XZA 1.2 REVOTRON,Automatic,"53,852 km",1st Owner,Petrol,DL-3C,"₹5,11,000"
2021 Mahindra Thar,LX HT PETROL 4WD MT,Manual,"6,089 km",1st Owner,Petrol,DL-10,"₹14,76,000"
2014 Maruti Wagon R 1.0,LXI CNG,Manual,"58,419 km",1st Owner,CNG,HR-29,"₹3,12,000"
2020 HYUNDAI VENUE,S 1.2,Manual,"74,909 km",1st Owner,Petrol,UP-13,"₹7,28,000"
2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"28,028 km",1st Owner,Petrol,DL-12,"₹9,25,000"
2020 MG HECTOR,SHARP DCT PETROL,Automatic,"34,505 km",1st Owner,Petrol,UP-16,"₹15,73,000"
2020 Honda City,VX CVT PETROL,Automatic,"26,230 km",2nd Owner,Petrol,UP-14,"₹11,47,000"
2015 HONDA CITY,SV CVT PETROL,Automatic,"53,566 km",1st Owner,Petrol,DL-4C,"₹6,53,000"
